Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,Num 3+
Image_01.vsi - 40x_06 #11,d785265b-2684-46a6-ac08-d1da13990ba7,PathAnnotationObject,,Image,Polygon,214.13,201.68,263,83,22,158,39.92,48.29,4,1,5,65767.3,1165.3,
Image_01.vsi - 40x_07 #13,eadfa5cb-faed-439b-9e5b-6b29552e839b,PathAnnotationObject,,Image,Polygon,584.16,214.77,674,44,,630,6.528,6.528,2,1,3,190111.3,2199.4,
Image_01.vsi - 40x_08 #15,506a023c-da9b-45ba-889a-cf88b23bc94c,PathAnnotationObject,,Image,Polygon,581.8,364.26,875,180,8,687,21.49,22.4,3,1,4,235029.3,1935,
Image_01.vsi - 40x_09 #17,7bf02a48-735b-443a-a930-c11bea8b98e0,PathAnnotationObject,,Image,Geometry,264.58,212.18,612,199,122,291,52.45,72.39,4,1,5,94211.8,1558.5,
Image_02.vsi - 40x_04 #7,6323f345-22ad-4184-b689-2149e19121cf,PathAnnotationObject,,Image,Polygon,209.91,882.05,1154,337,21,796,31.02,32.84,3,1,4,265152.4,2663.7,
Image_02.vsi - 40x_05 #9,e2d5f369-7433-4f07-83b8-3e2be4b40878,PathAnnotationObject,,Image,Polygon,487.64,1029.3,1168,202,14,952,18.49,19.69,3,1,4,234210.1,3674.6,
Image_02.vsi - 40x_06 #11,c029f179-35b4-4934-866d-560912537ad5,PathAnnotationObject,,Image,Polygon,119.93,301.94,261,9,,252,3.448,3.448,2,1,3,83813,1296.5,
Image_08.vsi - 40x_05 #9,eb1f207c-d535-456e-ac9c-0d12b7a0b62a,PathAnnotationObject,,Image,Polygon,288.1,163.37,459,216,76,167,63.62,80.17,4,1,5,81428.7,1464.7,
Image_08.vsi - 40x_06 #11,e0c40f92-826b-4b06-8ee9-b4a67ee94000,PathAnnotationObject,,Image,Polygon,730.27,375.18,815,438,167,210,74.23,94.72,5,1,6,153623.9,2698.3,
Image_08.vsi - 40x_07 #13,db8cd91b-da81-4e2a-95ae-9e447b1cd762,PathAnnotationObject,,Image,Geometry,907.66,399.34,1061,432,50,579,45.43,50.14,4,1,5,239528.6,3443.4,
Image_10.vsi - 40x_05 #9,92ce0174-4662-4151-a34b-73b7af82e2b0,PathAnnotationObject,,Image,Polygon,375.74,108.86,374,133,15,226,39.57,43.58,4,1,5,65162.9,1721.5,
Image_10.vsi - 40x_06 #11,53620485-1673-4e05-b082-873922235a55,PathAnnotationObject,,Image,Polygon,1032.3,175.82,589,278,15,296,49.75,52.29,4,1,5,111463.9,1938.6,
Image_10.vsi - 40x_07 #13,cafdf4a4-3340-4c45-bad4-b5896bbf888e,PathAnnotationObject,,Image,Polygon,362.59,231.08,822,413,30,379,53.89,57.54,4,1,5,181869.5,2163.9,
Image_10.vsi - 40x_08 #15,e0e2b693-51ad-4357-bf08-c3cc8094bc68,PathAnnotationObject,,Image,Polygon,295.9,139.32,228,65,15,148,35.09,41.67,4,1,5,38493.2,1328.7,
Image_11.vsi - 40x_06 #11,5e871354-0155-4e6c-b2ef-8e194b9c2488,PathAnnotationObject,,Image,Polygon,625.37,771.07,2272,30,,2242,1.32,1.32,2,1,3,617845.7,3943.1,
Image_11.vsi - 40x_07 #13,4afa8a9f-072e-456d-b902-af2da3263bbf,PathAnnotationObject,,Image,Polygon,434.97,445.03,688,1,,687,0.1453,0.1453,1,1,2,133192.5,1930.4,
Image_11.vsi - 40x_08 #15,b8edca93-6be6-455e-943f-2479b2af6580,PathAnnotationObject,,Image,Polygon,282.69,143.86,185,,,185,0,,,,,49561.8,861.15,
Image_12.vsi - 40x_06 #11,8e4e394f-c2b4-407f-a945-da613b6964c8,PathAnnotationObject,,Image,Polygon,496.73,332.4,1104,447,98,559,49.37,58.24,4,1,5,250206,2689.5,
Image_12.vsi - 40x_07 #13,5e744589-0cf1-4328-9603-9b6cb40e686f,PathAnnotationObject,,Image,Polygon,579.02,248.78,943,99,3,841,10.82,11.13,3,1,4,191966.9,2272,
Image_12.vsi - 40x_08 #15,368a6f3d-4bb7-45b9-ad5f-a4e9caf44f17,PathAnnotationObject,,Image,Polygon,595.69,225.41,1410,703,465,242,82.84,115.82,5,1,6,253360,3197.5,
Image_15.vsi - 40x_05 #9,30053d15-9777-4fe1-b4b0-dbb8c7ffd429,PathAnnotationObject,,Image,Geometry,132.36,87.49,140,26,,114,18.57,18.57,3,1,4,28544.6,1339.2,
Image_15.vsi - 40x_06 #11,5d39ebe7-faad-4343-a49f-0cffa70c71ec,PathAnnotationObject,,Image,Polygon,362.23,253.35,427,97,,330,22.72,22.72,3,1,4,91836.7,2005.3,
Image_15.vsi - 40x_07 #13,64fac18f-1040-475c-af37-7e525c44d868,PathAnnotationObject,,Image,Polygon,355.49,202.6,831,305,4,522,37.18,37.67,4,1,5,163829.1,1938.5,
Image_16.vsi - 40x_05 #9,4246f35b-329d-4bdb-8d88-243716e6874d,PathAnnotationObject,,Image,Polygon,864.38,236.83,1398,380,57,961,31.26,35.34,3,1,4,370275.9,2702.1,
Image_16.vsi - 40x_06 #11,d6d0f3b2-141e-4c34-8321-2568da20fb5d,PathAnnotationObject,,Image,Polygon,683.4,296.89,1914,102,,1812,5.329,5.329,2,1,3,488355.7,3306.1,
Image_16.vsi - 40x_07 #13,475ee295-51e3-4e22-90f0-8275624df7c7,PathAnnotationObject,,Image,Polygon,764.52,457.19,1445,651,172,622,56.96,68.86,4,1,5,406229.8,3227,
Image_17.vsi - 40x_05 #9,ab216ca9-fca6-4a9c-af42-e6f9fe14b1fb,PathAnnotationObject,,Image,Polygon,433.9,303.79,677,2,,675,0.2954,0.2954,1,1,2,187497.4,2051.6,
Image_19.vsi - 40x_06 #11,6f218e51-fc0c-4f62-b69e-c1ae13209369,PathAnnotationObject,,Image,Polygon,321.89,243.36,706,401,13,292,58.64,60.48,4,1,5,141777.2,1676.1,
Image_19.vsi - 40x_07 #13,cdc169a6-8e02-4238-8f3d-cf243f0c2c81,PathAnnotationObject,,Image,Polygon,436.2,890.83,2361,1650,159,552,76.62,83.35,5,1,6,531336.3,3905,
Image_19.vsi - 40x_08 #15,3c4d3252-1306-44ba-a278-09bdd6b708ef,PathAnnotationObject,,Image,Polygon,326.53,1095.4,2644,1492,98,1054,60.14,63.84,4,1,5,541317.1,4597.8,
Image_20.vsi - 40x_06 #11,a884eaf9-7931-45db-936b-0bd5db73cfb9,PathAnnotationObject,,Image,Polygon,305.33,297,782,385,94,303,61.25,73.27,4,1,5,135809.8,1869.3,
Image_20.vsi - 40x_07 #13,188a037c-b52b-42c2-8a2e-00380b850123,PathAnnotationObject,,Image,Polygon,282.62,709.54,984,470,108,406,58.74,69.72,4,1,5,210111.2,2136,
Image_20.vsi - 40x_08 #15,374946b5-731c-4023-aea9-00a4ae49d714,PathAnnotationObject,,Image,Polygon,343.22,766.96,1513,704,317,492,67.48,88.43,5,1,6,276087.3,3242.1,
Image_22.vsi - 40x_05 #9,4ea1c9a3-402a-4c41-bd96-3237a98fdde7,PathAnnotationObject,,Image,Polygon,366.26,317.65,819,396,205,218,73.38,98.41,5,1,6,175270.2,2105.5,
Image_22.vsi - 40x_06 #11,6b311786-53b8-4f2d-9c01-61d45c6e3fed,PathAnnotationObject,,Image,Polygon,458.04,776.52,2365,1070,271,1024,56.7,68.16,4,1,5,560342,3768.1,
Image_23.vsi - 40x_05 #9,6c162607-d322-4807-bb89-234daa3ac91d,PathAnnotationObject,,Image,Polygon,451.32,842.03,1683,441,19,1223,27.33,28.46,3,1,4,393058.6,2728.4,
Image_23.vsi - 40x_06 #11,a3f96048-9e8a-403a-9ad6-50537d7812bb,PathAnnotationObject,,Image,Polygon,346.06,210.71,435,227,14,194,55.4,58.62,4,1,5,93144.5,1282.3,
Image_23.vsi - 40x_07 #13,53e217cb-80c2-44e7-b839-9529f10d13ac,PathAnnotationObject,,Image,Polygon,424.63,212.19,616,245,1,370,39.94,40.1,4,1,5,169134.9,1595.7,
Image_24.vsi - 40x_05 #9,d257d6a3-2a0a-4779-89d4-597c52e21b69,PathAnnotationObject,,Image,Polygon,792.04,455.69,28,19,2,7,75,82.14,5,1,6,1764.1,149.03,
Image_24.vsi - 40x_05 #9,18d5bd7b-78ca-4779-9fc0-2204c5b6ca7d,PathAnnotationObject,,Image,Polygon,743.53,417.21,2212,906,378,928,58.05,75.14,4,1,5,433867.6,3625.4,
Image_24.vsi - 40x_06 #11,dee2139d-082a-441a-a861-c6b1886a9aff,PathAnnotationObject,,Image,Geometry,625.29,361.78,1034,597,123,314,69.63,81.53,5,1,6,210743.3,2477.9,
Image_25.vsi - 40x_05 #9,b7eda729-9ddb-4ce6-8264-6ceea9742763,PathAnnotationObject,,Image,Polygon,179.53,207.66,473,243,24,206,56.45,61.52,4,1,5,86983.1,1252.6,
Image_25.vsi - 40x_06 #11,19a33914-b143-46b1-98df-e692e8e6f331,PathAnnotationObject,,Image,Polygon,273.83,128.78,459,218,,241,47.49,47.49,4,1,5,84353.8,1419.2,
Image_25.vsi - 40x_07 #13,075c6a69-b3e7-4c13-80ef-f61fa49c5810,PathAnnotationObject,,Image,Polygon,220.17,392.82,647,258,49,340,47.45,55.02,4,1,5,123460.5,1679.5,
Image_25.vsi - 40x_08 #15,bf4ce01d-7aed-4c8d-bd98-df4e5b84bcad,PathAnnotationObject,,Image,Polygon,228.19,405.29,677,391,57,229,66.17,74.59,4,1,5,112438.2,2194.1,
Image_28.vsi - 40x_06 #11,a114c083-7500-42c7-b7f8-2c17c58337d3,PathAnnotationObject,,Image,Polygon,634.66,353.61,1201,277,744,179,85.1,147.21,5,2,7,219598,2500.4,1
Image_28.vsi - 40x_07 #13,953cdec0-0487-4e39-a7ba-27246ddeaa8c,PathAnnotationObject,,Image,Polygon,866.61,339.78,1259,554,355,350,72.2,100.4,5,1,6,232132.3,2854.8,
Image_28.vsi - 40x_08 #15,607aefab-ef78-48f1-b39c-3eaac39bc6d4,PathAnnotationObject,,Image,Polygon,807.83,320.24,1496,462,845,184,87.7,144.85,5,1,6,279974,3286.1,5
Image_28.vsi - 40x_09 #17,509218c8-e16e-4027-a473-c2df6e4a975a,PathAnnotationObject,,Image,Geometry,497.04,202.58,700,386,217,97,86.14,117.14,5,1,6,116390.2,2172.5,
Image_30.vsi - 40x_05 #9,25fad0f9-a67f-4832-9286-e58789dff946,PathAnnotationObject,,Image,Polygon,262.68,385.05,1279,765,98,416,67.47,75.14,5,1,6,251843.6,2128.6,
Image_30.vsi - 40x_06 #11,3986c210-3e07-4534-b645-9f8a614a1f36,PathAnnotationObject,,Image,Polygon,201.36,222.17,183,77,80,26,85.79,129.51,5,1,6,12964.8,536.06,
Image_30.vsi - 40x_06 #11,9ca5ce11-b061-4ff1-a75f-1263b97d9480,PathAnnotationObject,,Image,Polygon,180.8,244.4,562,212,114,236,58.01,78.29,4,1,5,115120.5,1424.4,
Image_32.vsi - 40x_04 #7,3a37fdd6-edc6-41f9-91ce-a97512046542,PathAnnotationObject,,Image,Polygon,380.48,382.24,1365,654,167,544,60.15,72.38,4,1,5,321376.9,2325.1,
Image_32.vsi - 40x_05 #9,6220e09d-6bb0-44b7-9927-d931af333909,PathAnnotationObject,,Image,Polygon,369.85,371.97,669,392,24,253,62.18,65.77,4,1,5,145845.8,1699,
Image_32.vsi - 40x_06 #11,e0df7208-8638-4891-a382-8718580cb883,PathAnnotationObject,,Image,Polygon,267.38,260.02,563,351,42,170,69.8,77.26,5,1,6,129714.1,1634.3,
Image_33.vsi - 40x_05 #9,9b9ea702-66dc-449f-bf5c-fc9677389b76,PathAnnotationObject,,Image,Polygon,235.31,318.15,1129,151,,978,13.37,13.37,3,1,4,254854.2,2068.2,
Image_33.vsi - 40x_06 #11,6f907ea1-03c7-4429-8c03-a648e510f4fc,PathAnnotationObject,,Image,Polygon,246.47,235.75,625,130,,495,20.8,20.8,3,1,4,165899,1711.5,
Image_33.vsi - 40x_07 #13,7b42502c-aac3-45ef-8b7d-ac50183bb245,PathAnnotationObject,,Image,Polygon,327.7,289.38,778,51,,727,6.555,6.555,2,1,3,205146.1,1912.8,
Image_33.vsi - 40x_08 #15,53217037-7ecd-4a98-8f5d-fcf2666ed1b1,PathAnnotationObject,,Image,Polygon,457.75,300.39,993,60,,933,6.042,6.042,2,1,3,240943.4,2196.2,
Image_05.vsi - 40x_05 #9,e3f485e4-f24f-40e8-ae2e-f9f7d83728a8,PathAnnotationObject,,Image,Polygon,393.16,426.87,312,,,312,0,,,,,61526.8,1700.7,
Image_09.vsi - 40x_04 #7,c09ced8f-331c-47b8-9b67-d838bc9fa402,PathAnnotationObject,,Image,Polygon,589.9,442.69,805,2,,803,0.2484,0.2484,1,1,2,370024,2704.4,
Image_09.vsi - 40x_05 #9,a0c93056-b7ee-4d6a-8be0-266ea800fbe6,PathAnnotationObject,,Image,Polygon,872.96,461.09,755,1,,754,0.1325,0.1325,1,1,2,253860.3,2089.8,
Image_11.vsi - 40x_08 #15,5d9adf48-2c34-44a8-926e-b1527d8b2ec4,PathAnnotationObject,,Image,Polygon,496.38,321.4,549,352,13,184,66.48,68.85,4,1,5,90183.2,2045.5,
Image_11.vsi - 40x_10 #19,a4b6dea2-b392-4757-ae46-0eccc8e09dd6,PathAnnotationObject,,Image,Polygon,289.29,265.25,379,,,379,0,,,,,95145.5,1807.6,
Image_12.vsi - 40x_08 #15,1f14d5a4-bb47-4309-9d2a-fd1922bd2ba8,PathAnnotationObject,,Image,Polygon,374.31,346.94,257,,,257,0,,,,,93380,1346.1,
Image_12.vsi - 40x_09 #17,e6642f43-6c9f-4a03-a818-269057db2bc8,PathAnnotationObject,,Image,Polygon,331.73,528.79,747,,,747,0,,,,,145763.9,2138.4,
Image_12.vsi - 40x_10 #19,ec55be55-4708-4ff5-b167-1f07ebbd9f8c,PathAnnotationObject,,Image,Polygon,441.95,584.09,1114,84,,1030,7.54,7.54,2,1,3,223698.6,2627.7,
Image_13.vsi - 40x_05 #9,84ec2254-a81a-4820-a210-c3a33c45aa1b,PathAnnotationObject,,Image,Polygon,515.7,172.71,896,388,39,469,47.66,52.01,4,1,5,203627.2,2716.8,
Image_13.vsi - 40x_06 #11,321a6ee3-352e-4a75-b1b9-a512074a46a8,PathAnnotationObject,,Image,Polygon,387.63,715.5,1497,324,1,1172,21.71,21.78,3,1,4,352181,2426.5,
Image_13.vsi - 40x_07 #13,290b082d-113c-439e-850e-a7f80a523bb4,PathAnnotationObject,,Image,Polygon,781.02,275.77,1597,788,507,302,81.09,112.84,5,1,6,325914.9,3928.7,
Image_13.vsi - 40x_08 #15,d5d7bca5-f4a8-4be8-8c59-6552ac3fd4d9,PathAnnotationObject,,Image,Polygon,705,294.03,924,556,25,343,62.88,65.58,4,1,5,208564.3,2570.2,
Image_13.vsi - 40x_09 #17,0153d4e1-668f-4b91-a6e1-8f32e4a701b7,PathAnnotationObject,,Image,Polygon,786.36,347.3,1174,82,,1092,6.985,6.985,2,1,3,260802.6,3143.7,
Image_05.vsi - 40x_04 #7,ce71d4fd-c409-45a6-bd3b-5dea616be9f0,PathAnnotationObject,,Image,Polygon,387.77,464.66,712,27,,685,3.792,3.792,2,1,3,146231.4,2184.3,
Image_05.vsi - 40x_05 #9,6990f2a3-47d0-4dc8-9736-ee7267020f94,PathAnnotationObject,,Image,Polygon,381.06,392.96,479,2,,477,0.4175,0.4175,1,1,2,114240.3,1847.4,
Image_09.vsi - 40x_04 #7,96eaf240-9a18-4428-ba81-94ab302ecff6,PathAnnotationObject,,Image,Polygon,575.22,424.83,844,5,,839,0.5924,0.5924,1,1,2,415938.6,2939.1,
Image_09.vsi - 40x_05 #9,a67d9287-e468-4a28-a6a9-7105ad12531e,PathAnnotationObject,,Image,Polygon,808.15,462.3,918,2,,916,0.2179,0.2179,1,1,2,336903.6,2455.6,
Image_09.vsi - 40x_06 #11,74d001b8-a1fa-42a1-ae63-5edbc02992a4,PathAnnotationObject,,Image,Rectangle,715.74,299.65,295,2,,293,0.678,0.678,1,1,2,96956.3,1366.4,
Image_09_01.vsi - 40x_04 #7,ca453ad8-1808-4a74-8e40-bec698ed9d5e,PathAnnotationObject,,Image,Polygon,570.48,442.48,776,2,,774,0.2577,0.2577,1,1,2,383004.3,2593.4,
Image_09_01.vsi - 40x_05 #9,d3f575c4-511b-4aee-9bfe-977f910dc163,PathAnnotationObject,,Image,Polygon,840.49,463.15,888,2,,886,0.2252,0.2252,1,1,2,322162.3,2252.5,
Image_09_02.vsi - 40x_04 #7,8c1d40ab-2110-4610-9627-edf9966cd5a6,PathAnnotationObject,,Image,Polygon,564.46,471.85,1013,2,,1011,0.1974,0.1974,1,1,2,522626,2933.1,
Image_09_02.vsi - 40x_05 #9,811aed8d-c74a-49f9-84df-2002eac98db3,PathAnnotationObject,,Image,Polygon,821,453.85,1002,2,,1000,0.1996,0.1996,1,1,2,365181.3,2401,
Image_13.vsi - 40x_04 #7,060bbad3-fc1c-494a-8579-c9b98553ceb0,PathAnnotationObject,,Image,Polygon,498.08,408.34,775,,,775,0,,,,,287638.4,2731.8,
Image_13.vsi - 40x_05 #9,12c45e2f-21fb-4f2b-820d-bfd518e28d51,PathAnnotationObject,,Image,Polygon,737.22,301.51,845,,,845,0,,,,,447318,2881.7,
Image_13.vsi - 40x_06 #11,5fdc6160-acec-41f2-8449-3ee52468c33d,PathAnnotationObject,,Image,Polygon,196.69,279.47,38,,,38,0,,,,,140107.8,1837.1,
Image_15.vsi - 40x_04 #7,6c218cc7-6b1b-48e6-b0b7-1c395f3dd341,PathAnnotationObject,,Image,Polygon,590.05,313.73,428,188,132,108,74.77,105.61,5,1,6,105838.7,2743.5,
Image_15.vsi - 40x_05 #9,118f9f66-7f58-4ab8-8406-89b586b4af63,PathAnnotationObject,,Image,Polygon,506.85,190.48,371,181,54,136,63.34,77.9,4,1,5,72052.9,1910.5,
Image_15.vsi - 40x_06 #11,610f9eaf-2acf-42bc-8f0a-f06cb7b5a47a,PathAnnotationObject,,Image,Polygon,456.23,457.03,613,223,249,141,77,117.62,5,1,6,128921.7,2754.1,
Image_16.vsi - 40x_04 #7,7fad52af-c61a-4a66-abeb-e0340e9e4b78,PathAnnotationObject,,Image,Polygon,631.77,410.43,1143,26,1,1116,2.362,2.45,2,1,3,534259.3,3804.9,
Image_16.vsi - 40x_05 #9,e626d1e1-c9e3-4288-9607-eed37db95a94,PathAnnotationObject,,Image,Polygon,611.54,287.07,207,22,1,184,11.11,11.59,3,1,4,39786.2,1207,
Image_16.vsi - 40x_06 #11,743b4efa-3e54-46e9-87f5-a3fe220358ec,PathAnnotationObject,,Image,Polygon,573.63,671.81,505,140,,365,27.72,27.72,3,1,4,89579.1,2502.1,
Image_19.vsi - 40x_05 #9,6755181b-14e7-4dc8-8086-e5603f076933,PathAnnotationObject,,Image,Geometry,401.39,319.95,294,152,45,97,67.01,82.31,5,1,6,56894.9,1345.9,
Image_19.vsi - 40x_06 #11,5efa6497-614e-4a2e-8ba3-1704ea5c1c1e,PathAnnotationObject,,Image,Polygon,770.43,302.31,1087,648,141,298,72.59,85.56,5,1,6,209316.1,2599.4,
Image_20.vsi - 40x_04 #7,03635059-ad88-48b6-829f-1f1b83061bce,PathAnnotationObject,,Image,Polygon,474.24,398.68,572,225,259,88,84.62,129.9,5,1,6,98969.2,2406.6,
Image_20.vsi - 40x_05 #9,2d867ee9-3dd2-4969-a8c1-378f354c1bb8,PathAnnotationObject,,Image,Polygon,694.81,411.55,1755,724,797,234,86.67,132.08,5,1,6,417738.6,3933.9,
Image_20.vsi - 40x_06 #11,7c5e27a6-f68f-4104-9b75-492d3b62a0f6,PathAnnotationObject,,Image,Polygon,217.87,387.09,254,123,67,64,74.8,101.18,5,1,6,46822.5,1519.7,
Image_20.vsi - 40x_07 #13,b988fc2e-52cd-4d9c-82c8-e426c4fd1e2c,PathAnnotationObject,,Image,Polygon,337.94,293.39,220,42,2,176,20,20.91,3,1,4,61468.1,1337.5,
Image_25.vsi - 40x_04 #7,be8a5cf5-4c34-4cc8-b826-f4a602dc5e32,PathAnnotationObject,,Image,Polygon,414.55,508.99,1107,541,389,177,84.01,119.15,5,1,6,191996.3,2715,
Image_25.vsi - 40x_06 #11,a94c621f-373d-4c44-8a16-1d590f4553fd,PathAnnotationObject,,Image,Polygon,406.59,211.67,272,29,,242,11.03,11.76,3,1,4,63680.7,1119.8,1
Image_25_01.vsi - 40x_04 #7,1653b75a-690d-4242-88c3-1370cd52fc22,PathAnnotationObject,,Image,Geometry,470.09,484.39,1297,673,404,220,83.04,114.19,5,1,6,217247.8,2815.4,
Image_25_01.vsi - 40x_05 #9,f863aa94-5924-4d12-ba2e-bb18486b3ef4,PathAnnotationObject,,Image,Polygon,184.64,355.14,432,184,4,244,43.52,44.44,4,1,5,79481.8,1647.5,
Image_25_01.vsi - 40x_06 #11,67fe796e-ad61-4f96-b46c-67d366626132,PathAnnotationObject,,Image,Polygon,405.45,197.12,236,26,,209,11.44,12.29,3,1,4,48677.4,1053.6,1
Image_28.vsi - 40x_05 #9,b4fe60fb-e009-4b45-a94e-27f1af2ac90d,PathAnnotationObject,,Image,Geometry,842.88,422.5,837,395,75,367,56.15,65.11,4,1,5,232547.9,3000.9,
Image_28.vsi - 40x_07 #13,283c37d1-ac98-4fb7-822c-ded6d8ea31d3,PathAnnotationObject,,Image,Polygon,551.62,262.52,696,335,191,170,75.57,103.02,5,1,6,151898.5,2555.4,
Image_31.vsi - 40x_04 #7,49ae9c33-55a1-45c8-917e-bbf156ce57b9,PathAnnotationObject,,Image,Polygon,391.07,417.99,1463,492,662,309,78.88,124.13,5,1,6,268638.3,2429.4,
Image_31.vsi - 40x_05 #9,c7b87dcf-69aa-497a-8418-15b7da2341e8,PathAnnotationObject,,Image,Polygon,330.05,228.76,155,,,155,0,,,,,37219.9,1283.6,
Image_31.vsi - 40x_06 #11,7c53dc73-201e-4802-a981-8509e730aa91,PathAnnotationObject,,Image,Geometry,701.94,187.87,422,251,83,88,79.15,98.82,5,1,6,124350.5,2309.7,
Image_31.vsi - 40x_07 #13,61f64a12-badf-4b73-b4db-2e701d9ff90d,PathAnnotationObject,,Image,Polygon,834.28,639.91,1718,789,539,390,77.3,108.67,5,1,6,315939.5,3199.2,
Image_37.vsi - 40x_06 #11,81ab193c-8579-454d-8cd3-0451981831e2,PathAnnotationObject,,Image,Polygon,637.58,161.83,308,230,4,74,75.97,77.27,5,1,6,59869.7,1078.1,
Image_37.vsi - 40x_07 #13,4de96ef5-5020-4697-87c9-ef115e2faae6,PathAnnotationObject,,Image,Polygon,490.4,434.72,1033,600,66,367,64.47,70.86,4,1,5,184011.2,2126.1,
Image_37.vsi - 40x_08 #15,d8725224-ab02-45a1-aab0-200000407ec4,PathAnnotationObject,,Image,Polygon,460.9,587.58,997,439,1,557,44.13,44.23,4,1,5,208878.6,2837,
