Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,DAB-Thesholder: FOS area µm^2,Num Detections,Num FOS,Area µm^2,Perimeter µm,Classifier: FOS area µm^2
H254-39.vsi - 20x,33ce7ae2-6d3e-417a-a472-845ae9eb2aa4,DMH,,Image,Geometry,2620.4,8189.9,6265.3389,63,63,400410.9,4297.5,
H254-39.vsi - 20x,4772d3c2-9af0-44ed-b437-0c7bad4725fa,ARC,,Image,Geometry,2645.8,8988.2,332.9481,4,4,310554.3,3451.2,
H254-39.vsi - 20x,4abf9e7d-ce37-432c-9e22-eedd8b6a0025,PH,,Image,Geometry,2501.5,7473.3,3242.7524,36,36,696015.4,4603.2,
H254-39.vsi - 20x,85c00763-bac2-4bdd-9687-b3ccace4054a,ATAN,,Image,Polygon,2652.3,8257.4,508.6348,3,3,25521.1,1365.9,
H254-39.vsi - 20x,f0450e4e-09e1-4cdf-937d-10f9498c8f04,BTAN,,Image,Polygon,2645.3,9032.1,2.8166,0,0,21084.4,1558.7,
H254-39.vsi - 20x,56559325-d581-47ca-8bdb-62b18f5d18d3,VMH,,Image,Geometry,2708.3,8558.5,91.4228,2,2,596597.3,3969.6,
H254-39.vsi - 20x,93485746-b600-459b-98f3-c00eb95e1dab,ARC,,Image,Geometry,9558.6,9178.6,176.1562,3,3,285554.3,3904.4,
H254-39.vsi - 20x,b0167cc1-0290-4294-8a9f-44416c9c6514,VMH,,Image,Geometry,9432.9,8817.1,119.237,1,1,587692.9,4024.8,
H254-39.vsi - 20x,cdffe388-f9af-4ff3-86c5-c1dbebc568ad,DMH,,Image,Geometry,9366.5,8457.2,3096.6401,37,37,399285.1,4147,
H254-39.vsi - 20x,8e035e7c-4fa6-48ff-8db9-7677c66538b1,ATAN,,Image,Polygon,9431.9,8560.2,0,0,0,24457.7,1241.6,
H254-39.vsi - 20x,424e1d4a-2bf9-46b5-b3eb-718c30b8626a,BTAN,,Image,Polygon,9425.7,9216.5,8.8019,0,0,27549.5,1491.7,
H254-39.vsi - 20x,8f349aef-306b-45a4-92e3-401af9b766da,PH,,Image,Geometry,9383.7,7708.7,2180.4167,26,26,615618.1,4454.4,
H254-39.vsi - 20x,4451d127-813c-4184-8620-78e07def48a5,ME,,Image,Polygon,2716.5,9129.8,324.7329,3,3,51926.9,1185.3,
H254-39.vsi - 20x,507796ec-a5ea-4ee6-8a29-e72f8b8ba4be,PT,,Image,Polygon,15114.3,8376.9,4.6944,0,0,19831.5,1028.6,
H254-39.vsi - 20x,9ef5bec4-8679-44b0-a2e0-c463b25b3f06,ME,,Image,Polygon,15083.6,8311.1,63.1393,0,0,43746.3,1149.2,
H254-39.vsi - 20x,0db8c25a-e605-4165-9318-2e4a80271868,BTAN,,Image,Polygon,15069.7,8224.7,87.1979,1,1,22033.6,1645,
H254-39.vsi - 20x,efea5daa-7238-4056-a218-ab72d14cc0b5,ATAN,,Image,Polygon,15214.8,7624.5,0.2347,0,0,13050,903.32,
H254-39.vsi - 20x,33d5369a-6421-4e71-9042-17113377aff5,ARC,,Image,Geometry,15171,8134.5,310.1804,2,2,280557.3,3032.4,
H254-39.vsi - 20x,fc88aa51-ed1a-4c78-a9e2-cc2f8987e512,VMH,,Image,Geometry,15190.5,7823.5,292.8112,2,2,583863.1,4308.3,
H254-39.vsi - 20x,2f3cc901-5352-4c5a-80a5-8550aa473907,DMH,,Image,Geometry,15208.9,7464.4,2215.9766,24,24,403161,4168.6,
H254-39.vsi - 20x,75621502-b603-4bf7-8e2d-41ba27a259f3,PH,,Image,Geometry,15269.7,6774.3,2177.4829,31,31,704103.3,5744.7,
H254-39.vsi - 20x,e9481ba1-6f1b-4254-bdd3-9e6e44c9c1d2,PT,,Image,Polygon,21861.4,7334.4,2.3472,0,0,37884.9,1838.2,
H254-39.vsi - 20x,929ec574-d0b9-41ae-8c17-d700a2297152,ME,,Image,Polygon,21940.7,7250.6,45.5354,0,0,51098.7,1076.9,
H254-39.vsi - 20x,7c2ee192-e702-4ab6-b9c9-478c913c1e43,BTAN,,Image,Polygon,21800.1,7188.9,15.6088,0,0,29694.6,1320,
H254-39.vsi - 20x,29e7638a-a5ba-4321-99e5-9a90785c0e8b,ATAN,,Image,Polygon,21801.8,6520.3,61.8483,1,1,20300.6,1065.3,
H254-39.vsi - 20x,5c65338e-cc1a-443c-8007-b5cdef3d3db1,ARC,,Image,Geometry,21874.1,7067.1,170.7577,2,2,307430.8,3231.8,
H254-39.vsi - 20x,0c940e48-bea5-4023-afb0-eb973dcb39c0,VMH,,Image,Geometry,21812.8,6738.2,697.8179,10,10,608686.1,4361.8,
H254-39.vsi - 20x,951bfdd4-1eda-40df-9098-be151c7d7c4f,DMH,,Image,Geometry,21741.9,6354.7,1350.8046,16,16,400962.9,3937,
H254-39.vsi - 20x,105c8b07-5e09-4610-b0d4-0bb041a74b61,PH,,Image,Geometry,21645.2,5662.8,4330.9072,45,45,700960.4,4631.3,
H211-45.vsi - 20x,4d5e6f5f-ab81-4254-aee3-20e64f841aad,PT,,Image,Polygon,4520.4,10624.7,112.1954,2,2,43013.2,2490.5,
H211-45.vsi - 20x,03b65f2d-d6a9-4ae0-9730-0abffd3ffb56,ME,,Image,Geometry,4451.9,10425.2,37.0855,1,1,84912.5,1611.1,
H211-45.vsi - 20x,aa2f0b3d-568d-4513-bc5e-c276bae04289,BTAN,,Image,Polygon,4532.1,10308.7,30.8655,1,1,22264.4,1278.6,
H211-45.vsi - 20x,bf9fdf37-34ea-4cc7-b812-187dbf7ad4ac,ATAN,,Image,Polygon,4581.2,9680.7,5.5159,0,0,23022.9,1296.5,
H211-45.vsi - 20x,13251db4-d0e7-467f-9297-12fb12d4e855,ARC,,Image,Geometry,4545.3,10202.7,12.2054,0,0,290715.3,3576.2,
H211-45.vsi - 20x,1149eb3f-7c16-43a7-a891-6b4664854c57,VMH,,Image,Geometry,4544.5,9846.9,70.1808,2,2,592623.7,4345.1,
H211-45.vsi - 20x,9fd16c1d-084f-4e01-a530-cd086a5c8179,DMH,,Image,Geometry,4597.8,9535.7,230.2588,4,4,397846.2,3992.7,
H211-45.vsi - 20x,527a839a-fb84-481b-b048-efd6c82218a7,PH,,Image,Polygon,4553.7,8797.7,909.6512,14,14,707546,4494.3,
H211-45.vsi - 20x,aca9d052-06cd-4d10-834e-a36b0f1e3837,PT,,Image,Geometry,13572.6,10027.2,381.5348,3,3,24733.1,1478.6,
H211-45.vsi - 20x,42e769db-f4d9-4201-b766-97069f6a5cae,ME,,Image,Geometry,13595.1,10030.1,382.7084,4,4,35624.3,1277.2,
H211-45.vsi - 20x,2c2bb6af-4dfb-4831-86de-a2bb1a964fb1,BTAN,,Image,Polygon,13745.3,10031.1,38.1417,0,0,17147.3,1215.8,
H211-45.vsi - 20x,97727b71-50ec-46f7-9aa7-aa5bb6ef7067,ATAN,,Image,Polygon,13665.5,9343.5,133.6721,1,1,29040.5,1224.5,
H211-45.vsi - 20x,87c8b17e-14b4-463d-bcd4-e6f7f385bbca,VMH,,Image,Geometry,13697.4,9464.9,352.4297,1,1,592575.8,4067.9,
H211-45.vsi - 20x,dcdf2b1b-28b8-4c94-841c-334c5bd9ea59,ARCx05,,Image,Geometry,13852.6,9803.7,107.149,1,1,127239.2,1873.9,
H211-45.vsi - 20x,fd685a20-9fd2-49c5-ba6c-1dfe82e7ed81,DMH,,Image,Geometry,13666.6,9047.8,355.0116,5,5,414441.5,4053.2,
H211-45.vsi - 20x,6783dec1-3edd-44ba-b293-f0a888ff4010,PH,,Image,Polygon,13671.8,8478,1993.5809,16,16,679578.7,3619.2,
H211-45.vsi - 20x,76990a9f-dd2b-47c0-b1af-e5991af2d61b,PH,,Image,Polygon,21673.6,7448.6,1928.2119,15,15,724271.5,3860.8,
H211-45.vsi - 20x,e5a82094-ea77-4741-b083-f042bccbb049,DMH,,Image,Geometry,21650.1,8184.9,282.2489,3,3,415903.7,3758.2,
H211-45.vsi - 20x,505f445a-009f-4832-a824-25f414bae58a,VMH,,Image,Geometry,21730.5,8513.6,733.3777,8,8,689038.4,4727.2,
H211-45.vsi - 20x,58b417de-6f35-480f-a018-85b0c51111b2,VMH,,Image,Geometry,21699.3,8827.8,583.2753,9,9,308233,3443.4,
H211-45.vsi - 20x,2f6eb62d-44ae-4f6d-b236-07d13873a693,ATAN,,Image,Polygon,21689.3,8337.3,4.6944,0,0,10310.2,781.69,
H211-45.vsi - 20x,487031b8-ffac-4a0b-9161-ef5c14f226a1,BTAN,,Image,Geometry,21743.2,8938.3,18.7775,0,0,13812.7,1017.4,
H211-45.vsi - 20x,cccd13f7-4d29-4f68-95e4-28b4e739d774,PT,,Image,Polygon,21717.8,9239.8,138.6012,2,2,46532.7,3271.4,
H211-45.vsi - 20x,649495c7-d9dd-4264-9bad-85a70ee32ff7,ME,,Image,Polygon,21616.8,9196.7,465.3293,6,6,133000.5,2411.1,
H216-39.vsi - 20x,e9ef0d7c-e3d1-41c3-b18b-d988620765b1,VMH,,Image,Geometry,9819.9,8426.7,561.3291,4,4,626706,4234.8,
H216-39.vsi - 20x,8ff38721-b33c-4ce3-83a2-310f5d3f347e,ARC,,Image,Geometry,9872.5,8834.1,662.7275,9,9,323151.3,3103.4,
H216-39.vsi - 20x,486acd5b-fc43-490e-9499-e5cb016dd349,DMH,,Image,Geometry,9777.4,8056.3,10279.7285,66,66,403750.7,3816.6,
H216-39.vsi - 20x,4a9d6fe5-a8fa-4903-86eb-3824557546ff,PH,,Image,Geometry,9653.5,7429.1,6091.6475,44,44,681039.3,4513.9,
H216-39.vsi - 20x,8c861baa-e9e3-4f61-adf2-984ca36262ff,ATAN,,Image,Polygon,9776.1,8094.1,161.721,2,2,53304.7,1892.8,
H216-39.vsi - 20x,066df675-01b3-41da-acac-62113947a003,BTAN,,Image,Polygon,9934.2,9031.9,1357.2593,10,10,42499.5,2384.8,
H216-39.vsi - 20x,fcb9f3c6-21f2-4528-b567-d9872f18526d,ME,,Image,Polygon,9908.3,9111.9,1194.13,13,13,85818.2,2534.4,
H216-39.vsi - 20x,ae6fc3f0-6cf1-415d-b591-8f89b9c72d95,PT,,Image,Polygon,9915.1,9162.2,9650.0957,25,25,86217.7,3463.8,
H216-39.vsi - 20x,bfe08bb8-b9e7-4b40-8596-7b6b2dc52dff,DMH,,Image,Geometry,16080.8,7875.2,6638.5415,54,54,401901.3,4067.2,
H216-39.vsi - 20x,6c3108fe-cfcf-498b-accf-d792960e4c38,VMH,,Image,Geometry,16183.4,8222.5,445.8477,7,7,714154.2,4486.7,
H216-39.vsi - 20x,fa205d07-81a9-41ea-b7f2-5f4d419a320f,ARC,,Image,Geometry,16140.1,8643.3,517.4368,7,7,326194.9,3235,
H216-39.vsi - 20x,c25ab2c2-23db-4643-9b03-f0b56e1eade9,PT,,Image,Polygon,16233.2,8963.5,11204.2842,31,31,96404.1,3164.7,
H216-39.vsi - 20x,962c5b57-4a97-42ae-979a-6d44c009fa6f,ME,,Image,Polygon,16257,8916.1,1901.1019,15,15,88584.1,2529.6,
H216-39.vsi - 20x,f4d5ac9b-cb19-4c8a-822b-2fe3903ae6a3,BTAN,,Image,Polygon,16233.2,8846.1,1148.9467,9,9,55401.9,2305.2,
H216-39.vsi - 20x,37750409-a01d-4e74-847d-1ff7572b5d51,ATAN,,Image,Polygon,16092.1,8018.9,53.8679,0,0,35903.9,1891.1,
H216-39.vsi - 20x,d1f8ffef-801c-4cd9-9a9b-15b4312d096a,PH,,Image,Geometry,15990.4,7226,5033.8887,43,43,700571.6,4828.1,
H216-39.vsi - 20x,08110d9d-5b14-4e79-9490-c306b548faca,PT,,Image,Polygon,34512.1,8130.2,14264.3086,25,25,61140.3,3203.8,
H216-39.vsi - 20x,0848771e-4f6a-4053-9ffa-9e7f5822364c,ME,,Image,Polygon,34498.7,8082.5,2209.1699,18,18,101066.6,2823.2,
H216-39.vsi - 20x,c8364a8e-ea32-416b-b5ba-b01b2f248a70,BTAN,,Image,Geometry,34597.4,7868.6,1379.5576,7,7,47568.2,2906.9,
H216-39.vsi - 20x,99bc0e49-54f5-40ee-bad8-8818b283472b,ATAN,,Image,Polygon,34430.2,7147.7,4896.5786,14,14,33431.9,1477.2,
H216-39.vsi - 20x,96abd76f-20c5-4ddb-b9c1-ec6a3776d9b1,VMH,,Image,Geometry,34480.3,7341.5,1195.7731,18,18,707912.5,4411.5,
H216-39.vsi - 20x,0eca5ed0-fcc4-483b-80fd-2cdb5eb542ff,ARC,,Image,Geometry,34533.1,7745.9,1358.1982,11,11,339468.2,3448.9,
H216-39.vsi - 20x,f64955c5-1fa7-4b47-98b3-c4808fc01ddd,DMH,,Image,Geometry,34438.7,7031.9,4069.9001,33,33,400620.9,4177.2,
H216-39.vsi - 20x,eec6764a-bade-4657-a6d8-f91ec0b3e67d,PH,,Image,Geometry,34331.3,6375.7,5270.8369,47,47,708947.5,4861.6,
H224-35.vsi - 20x,f6406927-52f2-4692-ac0d-0a90d3224de3,VMH,,Image,Geometry,4365.3,8599.3,768.5855,7,7,589015.7,4261,
H224-35.vsi - 20x,a25af26f-b7e8-4f26-b725-f70a9138d3b3,PH,,Image,Geometry,4210.1,7487.9,12779.3623,90,90,693601.8,5078.6,
H224-35.vsi - 20x,0d0037ba-f2e6-4701-9304-39ca8cb3700f,BTAN,,Image,Geometry,4336.3,9074.9,312.997,5,5,14516.8,1323.7,
H224-35.vsi - 20x,690745ec-5b43-4f0f-ba35-494ae2aa3a3e,DMH,,Image,Geometry,4334.8,8134.9,3769.9299,30,30,426813.7,4224,
H224-35.vsi - 20x,4691c477-f98a-4e86-82a3-b6085f75f3d4,ATAN,,Image,Polygon,4340,8231,297.5056,3,3,13806.9,1245.7,
H224-35.vsi - 20x,7b862ef0-89f8-49ca-a42f-709fd1c287d0,ME,,Image,Geometry,4353.5,9197.9,256.0778,3,3,40832.2,1427.5,
H224-35.vsi - 20x,991a64ed-d326-4534-ae87-d9fa106633fd,PT,,Image,Geometry,4286.9,9273.1,15.7261,0,0,13831.7,1320.7,
H224-35.vsi - 20x,126f0815-f9e3-47ed-ab49-6b7df55077a6,ARC,,Image,Geometry,4329.4,8975.1,628.3412,6,6,312583.2,3632.3,
H224-35.vsi - 20x,6621e2a4-bb46-4167-aa87-8aac4c16acde,BTAN,,Image,Geometry,12179.3,8628,296.6841,4,4,12026,1238.2,
H224-35.vsi - 20x,bc5de307-b2da-4308-9d4a-ea6f6d2fdaa0,PT,,Image,Geometry,12257.4,8822.8,30.396,1,1,14239.1,1527.1,
H224-35.vsi - 20x,6617d466-8e34-4007-b269-17b4357d191c,VMH,,Image,Geometry,12201.9,8201,788.6539,6,6,703458.2,4316.2,
H224-35.vsi - 20x,97cea2ca-94be-4b57-b1cd-ba077b63056f,DMH,,Image,Geometry,12196.8,7734.7,2089.8154,22,22,397453.5,3760.4,
H224-35.vsi - 20x,ca3a58e9-8c52-46ca-ae9f-9f2f5143d525,PH,,Image,Geometry,12110.4,7080.4,4869.5859,51,51,658046.4,4663.9,
H224-35.vsi - 20x,9f35234f-e58a-4e9f-a012-edcb3db0e54f,ARC,,Image,Geometry,12209.9,8580,1068.2036,6,6,302587.9,3513.9,
H224-35.vsi - 20x,590496f6-e8ae-4528-b186-36c2d2f2ab6a,ME,,Image,Geometry,12175.9,8772.5,247.6279,2,2,59872.6,1550.2,
H224-35.vsi - 20x,0c5cf7d9-cdee-4f27-a9d0-118543ad3230,VMH,,Image,Geometry,20546.1,8357,502.1801,3,3,605673.8,4059.4,
H224-35.vsi - 20x,21f6a396-10ab-4240-802b-4a1ebd3907ce,ATAN,,Image,Polygon,20544.4,8067.4,147.5205,1,1,22031.5,1166.7,
H224-35.vsi - 20x,7db4b700-329d-4e64-95dc-71b73aaa04f2,BTAN,,Image,Geometry,20501.5,8740.6,69.9461,1,1,15415.2,1402.3,
H224-35.vsi - 20x,ce850d70-54e3-4cf8-a8fb-2d2f62e22dbf,PT,,Image,Geometry,20467,8966.2,41.7799,1,1,18124,1598.9,
H224-35.vsi - 20x,f105d28f-dea0-49d7-bbaa-24a0dc0aa9d7,ME,,Image,Geometry,20519.9,8878.4,476.8305,5,5,54593.9,1455.1,
H224-35.vsi - 20x,39a52084-9d8b-4767-8059-7782374c02bb,ARC,,Image,Geometry,20559.8,8704,404.6546,3,3,292515.3,3548.2,
H224-35.vsi - 20x,b40be4e6-79c3-46b4-bf2e-de9270f555b2,DMH,,Image,Geometry,20539.8,7923.1,2078.3142,22,22,401127.8,3709.5,
H224-35.vsi - 20x,810bcd25-f747-4915-a53d-35eda7c1b593,PH,,Image,Polygon,20528.3,7330.2,5218.7295,50,50,717835.6,3269.3,
H236-39.vsi - 20x,4d97d419-3df9-4039-87d2-e051043f8377,VMHx05,,Image,Polygon,5416.4,7332.8,1113.6216,6,6,321136.5,2099.4,
H236-39.vsi - 20x,77e1ae38-1575-476d-b0d5-b600968e4710,ARCx05,,Image,Polygon,5412.8,7759.1,587.6176,5,5,150891.7,1614.9,
H236-39.vsi - 20x,27bcf25e-c399-40fb-ba7d-bf34b347ef19,DMHx05,,Image,Polygon,5205.4,6831.5,4213.8999,24,24,212103.2,2004.9,
H236-39.vsi - 20x,cc0f08d8-f49f-4052-9a90-9f4e1a256046,ATAN,,Image,Polygon,4979.7,6981.6,41.5452,1,1,13091.6,1069.8,
H236-39.vsi - 20x,fc8eb63d-e9c5-4ea9-bae2-da196b18cb4f,BTAN,,Image,Polygon,5113.2,7850.7,447.8428,3,3,6120.1,646.82,
H236-39.vsi - 20x,ff2b6ec1-ebc6-4749-a214-c00d5483439a,ME,,Image,Polygon,5101.5,7984,1156.3403,9,9,52172.9,1277.1,
H236-39.vsi - 20x,ca7e990c-4d5b-4424-baaf-05fefedecc4e,PT,,Image,Polygon,5011,8102.8,5771.8438,16,16,27606.4,1849.4,
H236-39.vsi - 20x,0a933d85-ddc0-400c-893f-d1d3636f650d,BTAN,,Image,Polygon,11300.5,7167,177.3298,2,2,12786.8,851.83,
H236-39.vsi - 20x,7f36081c-c25e-44be-816a-0fa947a75781,PT,,Image,Polygon,11197.6,7410,5843.5498,16,16,25724.9,1918.3,
H236-39.vsi - 20x,dfa011bb-42ad-48ea-a59b-ae0edc59953a,ME,,Image,Polygon,11281.8,7284.6,443.9699,7,7,41066.9,1000.2,
H236-39.vsi - 20x,0dda1d02-0f70-4787-968a-9450ab2353d9,ARCx05,,Image,Polygon,11563,7097.6,643.2458,5,5,144877.4,1549,
H236-39.vsi - 20x,4b207890-066b-48cc-839f-d1cb05feb97d,VMHx05,,Image,Polygon,11654.2,6604.3,824.2137,6,6,308994.7,2040.6,
H236-39.vsi - 20x,2f7ec88a-fbbb-49e0-98e3-656341f238a3,DMHx05,,Image,Polygon,11511.1,6211.8,1621.3175,15,15,208002.8,2006.5,
H236-39.vsi - 20x,eaf58d39-afc4-49ce-8bc3-063b049ee422,PH,,Image,Polygon,11369.3,5614.6,2184.9939,24,24,715019.5,3238.4,
H236-39.vsi - 20x,e1a60638-8e52-4639-b82f-5475632a08fa,PH,,Image,Polygon,4929.8,6282.2,4698.5933,40,40,696723.3,3276.9,
H236-39.vsi - 20x,ff98a917-334e-4f3d-a2ba-5c5a92bbb0d4,ATAN,,Image,Polygon,11235.3,6304.4,2.934,0,0,14924.2,1084.9,
H236-39.vsi - 20x,988b0ce8-bd70-4da0-8afb-6c5d00f7c358,PT,,Image,Polygon,18094.8,8120.3,9011.0752,20,20,40877.3,1949.7,
H236-39.vsi - 20x,cdf3408c-31fc-43c2-afc0-f9ffac1f970e,ME,,Image,Polygon,18107.2,8026,1046.2574,12,12,49338.5,1362.6,
H236-39.vsi - 20x,840d8d57-8cd3-4da0-9e3b-f0110d34c8a1,BTAN,,Image,Polygon,18120.1,7862.4,4223.8755,9,9,27783.5,1459.9,
H236-39.vsi - 20x,8fecde75-cae7-4e4e-972d-3103fc88b8cc,ARCx05,,Image,Polygon,18423.7,7725.4,237.0656,3,3,143954.4,1587.9,
H236-39.vsi - 20x,f20c90b9-2152-4af8-8081-386e6c4180c3,VMHx05,,Image,Polygon,18427.6,7302.6,218.2881,3,3,303987.9,2035.1,
H236-39.vsi - 20x,d244f6f9-4944-402e-8ac4-cd5d88ab4c51,DMHx05,,Image,Polygon,18203.9,6916.3,4652.4712,30,30,211103.5,1959.2,
H236-39.vsi - 20x,a7396e2a-8330-4bc8-95fb-28e1b4f81d75,ATAN,,Image,Polygon,17967.4,7060.2,21.9462,0,0,16608.9,1106.7,
H236-39.vsi - 20x,5e4ff0fb-02e6-4b5f-9ed6-34b3367021ad,PH,,Image,Polygon,17853.9,6251.2,2147.9084,27,27,712830.4,3321.6,
h241-39.vsi - 20x,ba379d31-d66c-4031-bd72-00b204a08761,ARC,,Image,Geometry,5070.3,8091.9,12461.6709,6,6,304375.1,3360.7,512.1534
h241-39.vsi - 20x,1078c4ff-35e4-4243-9fac-f3480802867f,BTAN,,Image,Polygon,5103.1,8280.2,991.4506,0,0,32531.5,2048.2,7.1589
h241-39.vsi - 20x,1f059402-8986-483b-bd67-03f116e83e99,ME,,Image,Polygon,5115.6,8376.4,1270.7656,1,1,69414,1398.5,26.0536
h241-39.vsi - 20x,42f49777-2bf3-4b6d-97e6-4d1422d525af,PT,,Image,Polygon,5095.5,8479.8,123.4619,0,0,14870.9,1419.2,6.3374
h241-39.vsi - 20x,5f3de78d-bb9c-46f3-8423-af5cdfad81fe,VMH,,Image,Geometry,5063.2,7619.7,51068.5117,3,3,708134.4,4411.2,200.214
h241-39.vsi - 20x,5621f13e-14d4-4ea4-93f7-740554ca5f42,DMH,,Image,Geometry,5080,6926.2,48245.668,63,63,416689.1,5048.7,6197.127
h241-39.vsi - 20x,85506726-2112-45f9-8aab-05a0fbef2a35,PH,,Image,Polygon,5038.8,6127.4,59906.0117,11,11,711397.3,3228.5,881.4813
h241-39.vsi - 20x,780d6932-0701-4662-a95f-8f60174da26b,ATAN,,Image,Polygon,5069.6,7139.3,1456.4279,0,0,35984.8,1578.2,27.5793
h241-39.vsi - 20x,07717636-fbfa-4737-8e25-be8acdbd70d1,DMH,,Image,Geometry,13358.7,7169.3,117229.6484,68,68,407676.9,4622.1,8542.0713
h241-39.vsi - 20x,950ba2b1-db68-404a-b806-bd1f0e2ca393,ATAN,,Image,Polygon,13375.5,7403.6,2647.7412,0,0,26385.2,1216.8,0
h241-39.vsi - 20x,a727e295-fd0f-41b5-9929-3c9b36452dba,VMH,,Image,Geometry,13387.9,7704.9,132530,3,3,599500.3,3970,150.8059
h241-39.vsi - 20x,68999137-4361-4f48-893d-bb89c8aaaa8d,ARC,,Image,Geometry,13335.8,8096.8,28266.4355,5,5,300967,3267.1,313.113
h241-39.vsi - 20x,dcf3ac71-be25-49eb-8a51-15ed8bdfe72c,BTAN,,Image,Polygon,13445.6,8281.3,2559.8391,1,1,38209.4,2529.4,99.2855
h241-39.vsi - 20x,b59d4ef6-db46-445a-8a4e-5f34959de6e4,PT,,Image,Polygon,13413.8,8465.4,280.2538,0,0,34915.6,2305.2,0.3521
h241-39.vsi - 20x,4e291492-bc81-4648-b863-8e15cdc97864,ME,,Image,Polygon,13377,8385.8,4506.5938,0,0,70674.5,1914.7,5.7506
h241-39.vsi - 20x,027777d9-9da5-48a2-b8d6-d2f491b871bc,PH,,Image,Polygon,13297.7,6452.2,126976.1016,34,34,723289.4,3099.2,4059.4377
h241-39.vsi - 20x,21783b03-9ec6-45fc-8553-3a7dbbce5a7c,DMH,,Image,Geometry,21963.6,7254.4,52376.832,33,33,400800.7,4213.6,3120.8027
h241-39.vsi - 20x,4e162807-d0d1-4d51-9faa-fb280be24ad7,VMH,,Image,Geometry,22005.9,7687.7,77398.75,4,4,601183.3,3963.4,267.9299
h241-39.vsi - 20x,cf6a4e10-b19a-4650-8c77-9947c2a26296,BTAN,,Image,Geometry,22173.3,8272.8,959.2942,0,0,43827.8,2957.4,0.3521
h241-39.vsi - 20x,08c8d256-be74-4974-ad2c-7a018f9c713e,PT,,Image,Polygon,22076.8,8455.8,280.9579,0,0,28617,2288.9,0
h241-39.vsi - 20x,f2444f5e-178e-4310-91e7-30e205f0071c,ME,,Image,Polygon,22083,8378,4891.8843,0,0,73910.1,1885.5,0.5868
h241-39.vsi - 20x,71cafb9e-4d07-4bea-960a-d923603c9cd9,ARC,,Image,Geometry,22028.8,8088.5,19725.0332,1,1,310542.2,3510.3,118.6497
h241-39.vsi - 20x,444f520b-baf4-4362-98a5-bb823c1adbff,ATAN,,Image,Polygon,21996,7342.9,2054.373,0,0,17756,1272.9,0
h241-39.vsi - 20x,9abf6d03-8a55-4512-bd8b-c71761419974,PH,,Image,Polygon,21877.8,6624.6,82576.1719,15,15,686946.1,3195.9,1238.9559
h241-39.vsi - 20x,57c3da7a-bbb4-4f03-97d6-71b31261afa9,cp,,Image,Polygon,1264.9,2705.8,69425.25,66,66,152006.9,3642.8,16012.6572
h241-39.vsi - 20x,49cc57ac-0e86-4030-b3c5-65db11344253,cp,,Image,Polygon,9341.8,2800.1,56310.125,59,59,167898.7,2602.2,8580.917
h241-39.vsi - 20x,1667f65d-4992-4901-a221-9344fac45808,cp,,Image,Polygon,17819.5,2946.4,40197.7617,29,29,172545.8,2403.1,3556.321
h241-39.vsi - 20x,733a650a-e4de-4822-82a2-e9fb7da72ef5,cp,,Image,Polygon,24747.8,5856.9,79601.3516,98,98,145508.5,1906.6,19188.3848
h241-39.vsi - 20x,ace229c0-b417-4b67-a147-6d28c7b868e2,cp,,Image,Polygon,33469.6,5404,148406.125,150,150,242039.5,2243.6,30099.459
